## L1Farm (2025)
# Subset AF-L1 Caucasian (BC)

## L1Farm site:
# https://github.com/ferrasa/l1farm/

## Reference:
# A comprehensive identification and annotation of mobile LINE-1 retrotransposons across human reference and personal genomes. (Unpublished)

## Genome Assembly:
# Diploid genome sequence of Dr J. Craig Venter - HuRef+HuRefPrime including unplaced scaffolds shorter than 3 Kbp (GCA_000252825.1).

## Columns description:
# (01)	Chromosome name. 
# (02)	Starting position of the feature in the chromosome.
# (03)	Ending position of the feature in the chromosome.
# (04)	Name of the L1 subfamily.
# (05)	Name of the L1 subfamily region.
# (06)	Strand.
# (07)	Number of mismatches (in bp).
# (08)	Number of deletions (in bp).
# (09)	Number of insertions (in bp).
# (10)	Locus length (in bp).
# (11)	Sequence identity (0.70 - 1.00) or (0.99 - 1.00).
# (12)	Sequence similarity (0.90 - 1.00).

CM000494.1	116592176	116598196	L1HS	.	-	45	1	0	6020	0.992524	0.999834
CM000465.1	116591178	116597198	L1HS	.	-	45	1	0	6020	0.992524	0.999834
CM000494.1	76374052	76380072	L1HS	.	+	45	1	0	6020	0.992524	0.999834
CM000462.1	111897506	111903533	L1HS	.	+	39	8	0	6027	0.993521	0.998671
CM000465.1	55853441	55859460	L1HS	.	+	42	2	2	6019	0.993022	1
CM000467.1	110599921	110605948	L1HS	.	+	39	9	1	6027	0.993521	0.998671
CM000492.1	36073269	36079288	L1HS	.	-	44	1	1	6019	0.99269	1
CM000463.1	36073478	36079497	L1HS	.	-	44	1	1	6019	0.99269	1
CM000462.1	158548387	158554405	L1HS	.	-	41	2	3	6018	0.993188	0.999834
CM000491.1	145784145	145790163	L1HS	.	-	44	1	2	6018	0.99269	0.999834
CM000462.1	145785265	145791283	L1HS	.	-	44	1	2	6018	0.99269	0.999834
CM000465.1	22960918	22966940	L1HS	.	+	44	3	0	6022	0.99269	0.999502
CM000493.1	3939822	3945837	L1HS	.	+	40	2	6	6015	0.993354	0.999335
CM000491.1	33149020	33155041	L1HS	.	-	45	2	0	6021	0.992524	0.999668
CM000503.1	73932819	73938838	L1HS	.	-	45	1	1	6019	0.992524	1
CM000474.1	73934329	73940348	L1HS	.	-	45	1	1	6019	0.992524	1
CM000496.1	115003017	115009036	L1HS	.	+	45	1	1	6019	0.992524	1
CM000492.1	165058465	165064484	L1HS	.	+	45	1	1	6019	0.992524	1
CM000463.1	165058595	165064614	L1HS	.	+	45	1	1	6019	0.992524	1
CM000492.1	206287834	206293851	L1HS	.	-	46	0	2	6017	0.992358	0.999668
CM000463.1	206287552	206293569	L1HS	.	-	46	0	2	6017	0.992358	0.999668
CM000470.1	66552617	66558633	L1HS	.	-	42	1	4	6016	0.993022	0.999502
CM000491.1	100694645	100700660	L1HS	.	+	45	0	4	6015	0.992524	0.999335
CM000462.1	100695235	100701250	L1HS	.	+	45	0	4	6015	0.992524	0.999335
CM000477.1	9598726	9604746	L1HS	.	-	47	1	0	6020	0.992191	0.999834
CM000468.1	141618526	141624546	L1HS	.	-	47	1	0	6020	0.992191	0.999834
CM000479.1	32259118	32265138	L1HS	.	+	47	1	0	6020	0.992191	0.999834
CM000501.1	31030451	31036466	L1HS	.	-	43	1	5	6015	0.992856	0.999335
CM000472.1	31030552	31036567	L1HS	.	-	43	1	5	6015	0.992856	0.999335
CM000508.1	13929888	13935909	L1HS	.	-	46	2	0	6021	0.992358	0.999668
CM000479.1	13929510	13935531	L1HS	.	-	46	2	0	6021	0.992358	0.999668
CM000502.1	48989510	48995529	L1HS	.	-	46	1	1	6019	0.992358	1
CM000473.1	48989259	48995278	L1HS	.	-	46	1	1	6019	0.992358	1
CM000479.1	65133370	65139382	L1HS	.	-	37	1	8	6012	0.993853	0.998837
CM000491.1	164925745	164931763	L1HS	.	-	46	1	2	6018	0.992358	0.999834
CM000478.1	59983899	59989903	L1HS	.	-	39	1	16	6004	0.993521	0.997508
CM000494.1	163244419	163250437	L1HS	.	+	48	0	1	6018	0.992025	0.999834
CM000465.1	163243287	163249305	L1HS	.	+	48	0	1	6018	0.992025	0.999834
CM000491.1	111896641	111902668	L1HS	.	+	42	8	0	6027	0.993022	0.998671
CM000495.1	39739913	39745931	L1HS	.	+	43	2	3	6018	0.992856	0.999834
CM000494.1	95251557	95257573	L1HS	.	-	43	2	5	6016	0.992856	0.999502
CM000479.1	44724800	44730818	L1HS	.	-	47	1	2	6018	0.992191	0.999834
CM000506.1	9598786	9604806	L1HS	.	-	49	1	0	6020	0.991859	0.999834
CM000466.1	84655111	84661136	L1HS	.	+	44	7	1	6025	0.99269	0.999003
CM000468.1	135057859	135063876	L1HS	.	-	47	1	3	6017	0.992191	0.999668
CM000466.1	39739745	39745763	L1HS	.	+	44	2	3	6018	0.99269	0.999834
CM000462.1	164926876	164932894	L1HS	.	-	48	1	2	6018	0.992025	0.999834
CM000492.1	71375734	71381749	L1HS	.	-	45	1	5	6015	0.992524	0.999335
CM000493.1	148522111	148528132	L1HS	.	-	39	5	3	6021	0.993521	0.999668
CM000464.1	148521891	148527912	L1HS	.	-	39	5	3	6021	0.993521	0.999668
CM000497.1	135058066	135064083	L1HS	.	-	48	1	3	6017	0.992025	0.999668
CM000467.1	115003094	115009113	L1HS	.	+	49	1	1	6019	0.991859	1
CM000466.1	96648711	96654730	L1HS	.	+	49	1	1	6019	0.991859	1
CM000513.1	76371272	76377286	L1HS	.	+	46	1	6	6014	0.992358	0.999169
CM000484.1	76371201	76377215	L1HS	.	+	46	1	6	6014	0.992358	0.999169
CM000465.1	74778017	74784032	L1HS	.	+	44	1	5	6015	0.99269	0.999335
CM000503.1	12687561	12693563	L1HS	.	+	35	1	18	6002	0.994185	0.997176
CM000492.1	224864754	224870775	L1HS	.	-	47	3	1	6021	0.992191	0.999668
CM000476.1	64165982	64172002	L1HS	.	+	51	1	0	6020	0.991527	0.999834
CM000491.1	118593723	118599744	L1HS	.	-	50	2	0	6021	0.991693	0.999668
CM000495.1	96648992	96655011	L1HS	.	+	50	1	1	6019	0.991693	1
CM000474.1	12687817	12693819	L1HS	.	+	36	1	18	6002	0.994019	0.997176
CM000463.1	71375678	71381693	L1HS	.	-	47	1	5	6015	0.992191	0.999335
CM000495.1	105817371	105823391	L1HS	.	+	52	1	0	6020	0.991361	0.999834
CM000466.1	105816975	105822995	L1HS	.	+	52	1	0	6020	0.991361	0.999834
CM000464.1	3939733	3945748	L1HS	.	+	46	2	6	6015	0.992358	0.999335
CM000462.1	118594513	118600534	L1HS	.	-	51	2	0	6021	0.991527	0.999668
CM000468.1	24968070	24974087	L1HS	.	-	40	1	3	6017	0.993354	0.999668
CM000501.1	86783107	86789127	L1HS	.	-	50	2	1	6020	0.991693	0.999834
CM000494.1	49626796	49632816	L1HS	.	+	50	2	1	6020	0.991693	0.999834
CM000465.1	49626684	49632704	L1HS	.	+	50	2	1	6020	0.991693	0.999834
CM000465.1	14094137	14100157	L1HS	.	+	50	2	1	6020	0.991693	0.999834
CM000502.1	52221454	52227472	L1HS	.	+	51	1	2	6018	0.991527	0.999834
